job_title,company_name,location,start_date,ctc,experience,posted,ctc_min,ctc_max,location_encoded,job_title_encoded,ctc_min_scaled,ctc_max_scaled
Business Development Associate,Break The Code,Mumbai,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-1 years,3 days ago,200000,300000,28,28,0.0,0.1
IELTS/PTE/Spoken English Trainer,DePioneer Education Overseas,Delhi,Starts Immediately,"₹ 3,00,000 - 3,50,000",0-2 years,1 week ago,300000,350000,9,92,0.1428571428571429,0.15
Fashion Designer,Valkyre Clothing,Mumbai,Starts Immediately,"₹ 3,00,000 - 3,50,000",0-2 years,"3 days ago


Be an early applicant",300000,350000,28,72,0.1428571428571429,0.15
Corporate Sales Executive,Kompass India Information Private Limited,Mumbai,Starts Immediately,"₹ 2,00,000 - 4,00,000",0-5 years,3 weeks ago,200000,400000,28,47,0.0,0.19999999999999998
Junior Python Developer,Extension Technologies Private Limited,Faridabad,Starts Immediately,"₹ 2,40,000 - 3,60,000",0-2 years,2 weeks ago,240000,360000,10,107,0.05714285714285716,0.16
Social Media Manager,Brilliance Academy,Work from home,Starts Immediately,"₹ 2,40,000 - 3,00,000",0-2 years,1 week ago,240000,300000,41,153,0.05714285714285716,0.1
Video Editor & Graphic Designer,Brilliance Academy,Work from home,Starts Immediately,"₹ 2,40,000 - 3,00,000",0-2 years,1 week ago,240000,300000,41,169,0.05714285714285716,0.1
Business Development Executive,Physics Wallah,Kozhikode,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-1 years,"1 day ago


Be an early applicant",200000,250000,24,32,0.0,0.05000000000000002
Sales Associate,PolicyBazaar.com,Gurgaon,Starts Immediately,"₹ 2,52,000 - 4,00,000",0-4 years,4 days ago,252000,400000,12,139,0.07428571428571429,0.19999999999999998
Domain Specialist Company Secretary,ClearTax,Bangalore,Starts Immediately,"₹ 7,00,000 - 10,00,000",0-2 years,2 days ago,700000,1000000,1,62,0.7142857142857143,0.8
Senior Tax Expert- Semi CA,ClearTax,Delhi,Starts Immediately,"₹ 5,00,000 - 8,00,000",1-3 years,2 days ago,500000,800000,9,151,0.4285714285714286,0.6
Customer Success Manager,ClearTax,Bangalore,Starts Immediately,"₹ 4,00,000 - 7,00,000",0-5 years,2 days ago,400000,700000,1,56,0.2857142857142857,0.5
Inside Sales Manager,ClearTax,Bangalore,Starts Immediately,"₹ 3,00,000 - 5,00,000",1-5 years,2 days ago,300000,500000,1,96,0.1428571428571429,0.30000000000000004
Data Analyst,Media.net,Mumbai,Starts Immediately,"₹ 4,00,000 - 5,00,000",1 year,6 days ago,400000,500000,28,58,0.2857142857142857,0.30000000000000004
Copywriter/Creative Strategist,Hansa Cequity,Mumbai,Starts Immediately,"₹ 2,00,000 - 5,00,000",1-5 years,1 week ago,200000,500000,28,46,0.0,0.30000000000000004
HTML Developer,Hansa Cequity,Mumbai,Starts Immediately,"₹ 2,00,000 - 3,50,000",1-3 years,1 week ago,200000,350000,28,88,0.0,0.15
Trainee Business Associate,Porter,Nashik,Starts Immediately,"₹ 2,75,000",0-2 years,3 weeks ago,275000,275000,29,165,0.10714285714285715,0.07499999999999998
Associate Product Manager,Cardekho.com,Jaipur,Starts Immediately,"₹ 5,00,000 - 7,00,000",0-5 years,Few hours ago,500000,700000,18,17,0.4285714285714286,0.5
Finance Teacher,BrightChamps Tech Private Limited,Work from home,Starts Immediately,"₹ 3,00,000",0-2 years,Few hours ago,300000,300000,41,79,0.1428571428571429,0.1
Inside Sales Executive,NoBroker Technologies Solutions Private Limited,Bangalore,Starts Immediately,"₹ 2,10,000 - 2,17,995",0-2 years,Few hours ago,210000,217995,1,95,0.01428571428571429,0.01799500000000001
Corporate Sales Executive,Godrej Properties Limited,Pune,Starts Immediately,"₹ 5,00,000 - 10,00,000",0-5 years,Few hours ago,500000,1000000,33,47,0.4285714285714286,0.8
Content Writer,College Dunia,Work from home,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,Today,200000,300000,41,44,0.0,0.1
Junior Operations Associate,Frontier,Work from home,Starts Immediately,"₹ 2,00,000 - 3,60,000",0-2 years,1 day ago,200000,360000,41,106,0.0,0.16
Business Development Trainee,Kalvium,Bangalore,Starts Immediately,"₹ 5,00,000",0-5 years,1 day ago,500000,500000,1,35,0.4285714285714286,0.30000000000000004
US IT Recruiter,Spectraforce Technologies,Mohali,Starts Immediately,"₹ 3,00,000 - 4,00,000",0-2 years,2 days ago,300000,400000,27,167,0.1428571428571429,0.19999999999999998
Business Development Associate,Urban Company,Delhi,Starts Immediately,"₹ 2,50,000 - 3,00,000",0-2 years,2 days ago,250000,300000,9,28,0.07142857142857145,0.1
Business Development Associate,Urban Company,Bangalore,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,2 days ago,200000,300000,1,28,0.0,0.1
Program Manager,Kalvium,Bangalore,Starts Immediately,"₹ 7,00,000",0-5 years,3 days ago,700000,700000,1,129,0.7142857142857143,0.5
Business Development Executive,Apollo Home Healthcare Limited,Delhi,Starts Immediately,"₹ 2,50,000 - 4,75,000",0-2 years,3 days ago,250000,475000,9,32,0.07142857142857145,0.275
Product Support Executive-Technology,InCred Financial Services Limited,Mumbai,Starts Immediately,"₹ 3,20,000 - 3,20,001",0-2 years,3 days ago,320000,320001,28,128,0.17142857142857149,0.120001
Scheduling Executive,Viacom 18 Media Private Limited,Bangalore,Starts Immediately,"₹ 4,00,000 - 5,00,000",0-5 years,3 days ago,400000,500000,1,145,0.2857142857142857,0.30000000000000004
Inside Sales Executive,NoBroker Technologies Solutions Private Limited,Bangalore,Starts Immediately,"₹ 2,20,000 - 2,60,000",0-2 years,3 days ago,220000,260000,1,95,0.02857142857142858,0.060000000000000026
Business Development Associate,BYJUS The Learning App,Chandigarh,Starts Immediately,"₹ 2,10,000 - 3,20,000",0-2 years,3 days ago,210000,320000,4,28,0.01428571428571429,0.12000000000000002
Academic Counselor,CollegeDekho.com,Gurgaon,Starts Immediately,"₹ 2,60,000 - 4,00,000",0-2 years,3 days ago,260000,400000,12,3,0.08571428571428574,0.19999999999999998
Business Development Associate,CollegeDekho.com,Gurgaon,Starts Immediately,"₹ 2,40,000 - 5,50,000",0-5 years,3 days ago,240000,550000,12,28,0.05714285714285716,0.35
Associate Center Manager,Cultfit Healthcare Private Limited,Mumbai,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,3 days ago,200000,300000,28,14,0.0,0.1
Business Development Associate,BYJUs,Keralassery,Starts Immediately,"₹ 7,00,000 - 8,00,000",0-5 years,3 days ago,700000,800000,20,28,0.7142857142857143,0.6
Customer Success Associate,Vertex Cosmos,Jaipur,Starts Immediately,"₹ 3,00,000 - 3,40,000",0-2 years,3 days ago,300000,340000,18,54,0.1428571428571429,0.13999999999999999
Academic Counsellor,CollegeDekho.com,Gurgaon,Starts Immediately,"₹ 2,80,000 - 4,50,000",0-2 years,4 days ago,280000,450000,12,2,0.11428571428571432,0.24999999999999997
Business Development Associate,Netscribes (India) Private Limited,Mumbai,Starts Immediately,"₹ 2,40,000 - 3,00,000",0-2 years,4 days ago,240000,300000,28,28,0.05714285714285716,0.1
Human Resources (HR) Associate,SBI Funds Management Limited,Mumbai,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2 years,4 days ago,200000,250000,28,90,0.0,0.05000000000000002
Home Consultant,Pepperfry,Mumbai,Starts Immediately,"₹ 2,50,000 - 3,50,000",0-2 years,4 days ago,250000,350000,28,89,0.07142857142857145,0.15
Business Development Associate,BYJU'S The Learning App,Gujarat,Starts Immediately,"₹ 7,00,000 - 8,00,000",0-5 years,4 days ago,700000,800000,11,28,0.7142857142857143,0.6
RETAIL PARTNER (TEAM LEADER),Bajaj Allianz Life Insurance Company Limited,Work from home,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,4 days ago,200000,300000,41,130,0.0,0.1
Field Sales Executive,NoBroker Technologies Solutions Private Limited,Mumbai,Starts Immediately,"₹ 3,00,000 - 5,00,000",0-5 years,5 days ago,300000,500000,28,77,0.1428571428571429,0.30000000000000004
HR Executive,Mynd Solutions Private Limited,Noida,Starts Immediately,"₹ 2,50,000 - 3,00,000",0-2 years,5 days ago,250000,300000,31,85,0.07142857142857145,0.1
Relationship Manager,HiyaMee Private Limited,Mumbai,Starts Immediately,"₹ 3,75,000 - 4,00,000",0-2 years,5 days ago,375000,400000,28,132,0.25,0.19999999999999998
Business Development Associate,BYJUs,Udaipur,Starts Immediately,"₹ 7,50,000 - 8,50,000",0-5 years,5 days ago,750000,850000,38,28,0.7857142857142857,0.65
Junior Engineer,Enphase Solar Energy,Delhi,Starts Immediately,"₹ 4,00,000",0-2 years,6 days ago,400000,400000,9,104,0.2857142857142857,0.19999999999999998
Executive - Product Support,Directi,Bangalore,Starts Immediately,"₹ 5,00,000",0-5 years,6 days ago,500000,500000,1,69,0.4285714285714286,0.30000000000000004
Omni Sport Leader (Women),Decathlon,Bangalore,Starts Immediately,"₹ 2,88,000 - 3,24,000",0-2 years,6 days ago,288000,324000,1,122,0.12571428571428572,0.12400000000000003
PRS Analyst,Viacom 18 Media Private Limited,Mumbai,Starts Immediately,"₹ 2,50,000 - 3,50,000",0-2 years,6 days ago,250000,350000,28,123,0.07142857142857145,0.15
3D Generalist,Studio Image Works,Gurgaon,Starts Immediately,"₹ 3,00,000 - 5,00,000",1 year,3 weeks ago,300000,500000,12,0,0.1428571428571429,0.30000000000000004
Associate Accountant,Team Management Services,Thane,Starts Immediately,"₹ 2,00,000 - 3,50,000",0-2 years,6 days ago,200000,350000,36,13,0.0,0.15
Business Development Associate,Kalvium,Bangalore,Starts Immediately,"₹ 4,00,000 - 5,00,000",0-5 years,1 week ago,400000,500000,1,28,0.2857142857142857,0.30000000000000004
Business Development Associate,Leverage Edu,Noida,Starts Immediately,"₹ 6,60,000 - 7,00,000",0-5 years,1 week ago,660000,700000,31,28,0.6571428571428573,0.5
Data Analyst Consultant,Educate Girls,Work from home,Starts Immediately,"₹ 4,00,000 - 8,00,000",0-5 years,1 week ago,400000,800000,41,59,0.2857142857142857,0.6
US IT Recruiter,Spectraforce Technologies,Mohali,Starts Immediately,"₹ 3,00,000 - 3,60,000",0-2 years,1 week ago,300000,360000,27,167,0.1428571428571429,0.16
Human Resources (HR) Executive,Hear.com,Gurgaon,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago,200000,300000,12,91,0.0,0.1
Business Development Associate,Urban Company,Bangalore,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2 years,1 week ago,200000,250000,1,28,0.0,0.05000000000000002
Business Development Manager,MyGate,Gurgaon,Starts Immediately,"₹ 4,00,000 - 6,00,000",0-5 years,1 week ago,400000,600000,12,33,0.2857142857142857,0.4
Accounts Executive - Taxation,AQM Technologies,Mumbai,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago,200000,300000,28,5,0.0,0.1
Business Development Associate,BYJUs,Bangalore,Starts Immediately,"₹ 4,00,000 - 5,00,000",0-5 years,1 week ago,400000,500000,1,28,0.2857142857142857,0.30000000000000004
Feild Sales Officer,Paytm,Mumbai,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago,200000,300000,28,73,0.0,0.1
Sales Recruitment,GBH Auto Mechanics & Services LLP,Work from home,Starts Immediately,"₹ 2,00,000 - 5,00,000",0-5 years,1 week ago,200000,500000,41,142,0.0,0.30000000000000004
Business Development Executive,Plada Infotech Services Limited,Noida,Starts Immediately,"₹ 2,00,000 - 4,00,000",0-2 years,1 week ago,200000,400000,31,32,0.0,0.19999999999999998
Sales Manager,Bajaj Allianz Life Insurance Company Limited,Work from home,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago,200000,300000,41,141,0.0,0.1
Business Development Associate,BYJU'S The Learning App,Delhi,Starts Immediately,"₹ 4,50,000 - 5,50,000",0-5 years,1 week ago,450000,550000,9,28,0.3571428571428572,0.35
Business Operations Analyst,Media.net,Mumbai,Starts Immediately,"₹ 3,00,000",0-2 years,1 week ago,300000,300000,28,36,0.1428571428571429,0.1
Corporate Sales Executive,PolicyBazaar.com,Gurgaon,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago,200000,300000,12,47,0.0,0.1
Field Sales Executive/Counselor/Relationship Executive,Lifecell International Private Limited,Delhi,Starts Immediately,"₹ 2,50,000 - 3,00,000",0-2 years,1 week ago,250000,300000,9,78,0.07142857142857145,0.1
Interior Designer,NoBroker Technologies Solutions Private Limited,Mumbai,Starts Immediately,"₹ 3,09,600 - 3,81,600",0-2 years,1 week ago,309600,381600,28,99,0.15657142857142858,0.1816
Sales Executive,NoBroker Technologies Solutions Private Limited,Bangalore,Starts Immediately,"₹ 4,10,000 - 4,20,000",0-2 years,1 week ago,410000,420000,1,140,0.30000000000000004,0.22
Omni Sport Leader,Decathlon,Chinchwad,Starts Immediately,"₹ 2,80,000 - 3,00,000",0-2 years,1 week ago,280000,300000,6,120,0.11428571428571432,0.1
Interior Designer,NoBroker Technologies Solutions Private Limited,Gurgaon,Starts Immediately,"₹ 2,00,000 - 3,80,000",0-2 years,1 week ago,200000,380000,12,99,0.0,0.18000000000000002
Telecaller,People Interactive Private Limited (Shaadi.com),Chennai,Starts Immediately,"₹ 2,00,000 - 2,75,000",0-2 years,1 week ago,200000,275000,5,162,0.0,0.07499999999999998
Zonal Assistant Manager- Logistics,FirstCry.com,Work from home,Starts Immediately,"₹ 3,60,000 - 4,00,000",0-2 years,1 week ago,360000,400000,41,172,0.22857142857142865,0.19999999999999998
Executive - Catalogue Music,Saregama India Limited,Mumbai,Starts Immediately,"₹ 3,50,000 - 4,00,000",0-2 years,1 week ago,350000,400000,28,68,0.2142857142857143,0.19999999999999998
Inside Sales Specialist,Infinity Learn,Noida,Starts Immediately,"₹ 4,00,000 - 5,00,000",0-5 years,1 week ago,400000,500000,31,97,0.2857142857142857,0.30000000000000004
Jr. Graphic Designer,LimeRoad,Gurgaon,Starts Immediately,"₹ 3,00,000 - 4,00,000",0-2 years,1 week ago,300000,400000,12,102,0.1428571428571429,0.19999999999999998
Customer Success Associate,Media.net,Bangalore,Starts Immediately,"₹ 4,00,000 - 4,50,000",0-2 years,1 week ago,400000,450000,1,54,0.2857142857142857,0.24999999999999997
Associate Accountant,RAK Ceramics,Samalkota,Starts Immediately,"₹ 2,50,000 - 4,00,000",0-2 years,1 week ago,250000,400000,34,13,0.07142857142857145,0.19999999999999998
Junior Recruiter,IMS Group,Ahmedabad,Starts Immediately,"₹ 2,46,000 - 3,00,000",0-2 years,1 week ago,246000,300000,0,108,0.06571428571428573,0.1
Tele Associate | Free Listed Seller Content Enrichment,IndiaMART InterMESH Limited,Work from home,Starts Immediately,"₹ 2,00,000 - 2,25,000",0-2 years,1 week ago,200000,225000,41,161,0.0,0.024999999999999994
Junior Lawyer,DR LAW,Delhi,Starts Immediately,"₹ 2,00,000",0-2 years,1 week ago,200000,200000,9,105,0.0,0.0
Security Team Leader/Team Member,Taj Hotels,Chennai,Starts Immediately,"₹ 3,00,000 - 5,00,000",0-5 years,1 week ago,300000,500000,5,146,0.1428571428571429,0.30000000000000004
Business Development Associate - Sales,Planet Spark,Gurgaon,Starts Immediately,"₹ 3,50,000 - 6,50,000",0-5 years,1 week ago,350000,650000,12,30,0.2142857142857143,0.45000000000000007
Dy.manager - Sales,Ion Exchange India Limited,Hyderabad,Starts Immediately,"₹ 3,00,000 - 10,00,000",0-5 years,1 week ago,300000,1000000,16,63,0.1428571428571429,0.8
Telecaller,Globiva,Gurgaon,Starts Immediately,"₹ 2,00,000 - 4,00,000",0-2 years,1 week ago,200000,400000,12,162,0.0,0.19999999999999998
Information Support Trainee,SISL Infotech Private Limited,Mumbai,Starts Immediately,"₹ 2,00,000 - 2,20,000",0-2 years,1 week ago,200000,220000,28,93,0.0,0.020000000000000018
Sales Team Leader,GBH Auto Mechanics And Services LLP,Kolkata,Starts Immediately,"₹ 4,60,000 - 7,44,000",0-5 years,1 week ago,460000,744000,21,143,0.37142857142857144,0.544
Curriculum Designer,Ampersand Group,Mumbai,Starts Immediately,"₹ 3,00,000 - 6,00,000",0-5 years,1 week ago,300000,600000,28,49,0.1428571428571429,0.4
Finance Trainee,McDonald's,Delhi,Starts Immediately,"₹ 2,00,000 - 2,20,000",0-2 years,1 week ago,200000,220000,9,80,0.0,0.020000000000000018
Business Development Associate,BYJU'S The Learning App,Kolkata,Starts Immediately,"₹ 4,00,000 - 7,00,000",0-5 years,1 week ago,400000,700000,21,28,0.2857142857142857,0.5
Inside Sales Associate,Leverage Edu,Noida,Starts Immediately,"₹ 6,60,000 - 7,00,000",0-5 years,1 week ago,660000,700000,31,94,0.6571428571428573,0.5
HR Recruiter,AQM Technologies,Mumbai,Starts Immediately,"₹ 2,00,000 - 5,00,000",0-5 years,1 week ago,200000,500000,28,87,0.0,0.30000000000000004
Academic Content Writer,Zucol Group Of Companies,Indore,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2 years,1 week ago,200000,250000,17,1,0.0,0.05000000000000002
Business Development Executive,Plada Infotech Services Limited,Noida,Starts Immediately,"₹ 2,00,000 - 4,00,000",0-2 years,1 week ago,200000,400000,31,32,0.0,0.19999999999999998
Omni Sport Leader,Decathlon Sports India Private Limited,Bangalore,Starts Immediately,"₹ 2,00,000 - 2,10,000",0-2 years,2 weeks ago,200000,210000,1,120,0.0,0.010000000000000009
Business Development Associate,Urban Company,Hyderabad,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,2 weeks ago,200000,300000,16,28,0.0,0.1
Academic Counselor,Infinity Learn,Bangalore,Starts Immediately,"₹ 4,00,000 - 5,00,000",0-5 years,2 weeks ago,400000,500000,1,3,0.2857142857142857,0.30000000000000004
Junior Digital Marketing Executive,SysTools Software Private Limited,Delhi,Starts Immediately,"₹ 2,00,000 - 3,50,000",0-2 years,2 weeks ago,200000,350000,9,103,0.0,0.15
Business Development Associate,BYJU'S The Learning App,Bangalore,Starts Immediately,"₹ 2,10,000 - 8,50,000",0-5 years,2 weeks ago,210000,850000,1,28,0.01428571428571429,0.65
Business Analyst,FirstCry.com,Dehradun,Starts Immediately,"₹ 3,50,000 - 4,00,000",0-2 years,2 weeks ago,350000,400000,8,25,0.2142857142857143,0.19999999999999998
Team Lead Finance,Apidel Technologies,Vadodara,Starts Immediately,"₹ 5,00,000 - 6,00,000",0-5 years,2 weeks ago,500000,600000,40,159,0.4285714285714286,0.4
Junior Talent Acquisition Executive,Lodha Group,Mumbai,Starts Immediately,"₹ 2,50,000 - 3,00,000",0-2 years,2 weeks ago,250000,300000,28,112,0.07142857142857145,0.1
Business Development Associate,BYJU'S The Learning App,Noida,Starts Immediately,"₹ 6,00,000 - 7,00,000",0-5 years,2 weeks ago,600000,700000,31,28,0.5714285714285715,0.5
Sales Executive,NoBroker Technologies Solutions Private Limited,Bangalore,Starts Immediately,"₹ 2,10,000",0-2 years,2 weeks ago,210000,210000,1,140,0.01428571428571429,0.010000000000000009
Content Writer,Leverage Edu,Noida,Starts Immediately,"₹ 3,00,000 - 4,80,000",0-2 years,2 weeks ago,300000,480000,31,44,0.1428571428571429,0.28
Business Development Counselor,Planet Spark,Gurgaon,Starts Immediately,"₹ 2,00,000 - 6,50,000",0-5 years,2 weeks ago,200000,650000,12,31,0.0,0.45000000000000007
Business Development Associate,Planet Spark,Gurgaon,Starts Immediately,"₹ 6,00,000 - 7,00,000",0-5 years,2 weeks ago,600000,700000,12,28,0.5714285714285715,0.5
Omni Sport Leader,Decathlon,Pune,Starts Immediately,"₹ 2,40,000 - 2,80,000",0-2 years,2 weeks ago,240000,280000,33,120,0.05714285714285716,0.07999999999999999
Sap Executive,Gravita India Limited,Jaipur,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2 years,2 weeks ago,200000,250000,18,144,0.0,0.05000000000000002
Customer Success Consultant,PeopleStrong,Gurgaon,Starts Immediately,"₹ 4,00,000 - 5,00,000",0-5 years,2 weeks ago,400000,500000,12,55,0.2857142857142857,0.30000000000000004
Telecaller,Nirvasa,Gurgaon,Starts Immediately,"₹ 2,00,000 - 2,10,000",0-2 years,2 weeks ago,200000,210000,12,162,0.0,0.010000000000000009
Talent Acquisition Executive,FirstCry,Dehradun,Starts Immediately,"₹ 2,50,000 - 3,00,000",0-2 years,2 weeks ago,250000,300000,8,157,0.07142857142857145,0.1
Business Development Executive,Planet Spark,Gurgaon,Starts Immediately,"₹ 5,00,000 - 7,00,000",0-5 years,2 weeks ago,500000,700000,12,32,0.4285714285714286,0.5
Business Development Executive,Lifecell International Private Limited,Delhi,Starts Immediately,"₹ 3,00,000 - 4,00,000",0-2 years,2 weeks ago,300000,400000,9,32,0.1428571428571429,0.19999999999999998
Sales Team Leader,GBH Auto Mechanics & Services LLP,Work from home,Starts Immediately,"₹ 2,80,000 - 3,00,000",0-2 years,2 weeks ago,280000,300000,41,143,0.11428571428571432,0.1
Field Sales Executive,Lindstrom Services India,Faridabad,Starts Immediately,"₹ 3,00,000 - 4,50,000",0-2 years,2 weeks ago,300000,450000,10,77,0.1428571428571429,0.24999999999999997
Assistant Sales Manager,PropertyPistol Realty Private Limited,Navi Mumbai,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,2 weeks ago,200000,300000,30,11,0.0,0.1
Omni Sport Leader (Sales Manager),Decathlon,Thane,Starts Immediately,"₹ 4,40,000 - 5,50,000",0-5 years,2 weeks ago,440000,550000,36,121,0.34285714285714286,0.35
Customer Care Executive,IDP,Surat,Starts Immediately,"₹ 3,00,000 - 3,40,000",0-2 years,2 weeks ago,300000,340000,35,50,0.1428571428571429,0.13999999999999999
Business Development Associate,Leverage Edu,Noida,Starts Immediately,"₹ 6,60,000 - 7,00,000",0-5 years,2 weeks ago,660000,700000,31,28,0.6571428571428573,0.5
Content Marketer,KocharTech,Gurgaon,Starts Immediately,"₹ 3,00,000 - 5,00,000",0-5 years,2 weeks ago,300000,500000,12,40,0.1428571428571429,0.30000000000000004
Senior Executive,Mahindra Home Finance,Thoothukudi,Starts Immediately,"₹ 3,00,000 - 3,50,000",0-2 years,2 weeks ago,300000,350000,37,148,0.1428571428571429,0.15
Performance Marketing,Worldwide Media (Times Group),Work from home,Starts Immediately,"₹ 4,00,000 - 5,00,000",0-5 years,2 weeks ago,400000,500000,41,125,0.2857142857142857,0.30000000000000004
Branch Credit Officer,Mahindra Home Finance,Paramakudi,Starts Immediately,"₹ 3,00,000 - 3,50,000",0-2 years,2 weeks ago,300000,350000,32,24,0.1428571428571429,0.15
Sports Manager,Decathlon Sport India Private Limited,Mumbai,Starts Immediately,"₹ 3,50,000 - 4,00,000",0-2 years,2 weeks ago,350000,400000,28,155,0.2142857142857143,0.19999999999999998
Sales Executive,Cultfit Healthcare Private Limited,Mumbai,Starts Immediately,"₹ 2,20,000 - 3,00,000",0-2 years,2 weeks ago,220000,300000,28,140,0.02857142857142858,0.1
Store Staff,Pepperfry,Gurgaon,Starts Immediately,"₹ 2,00,000 - 2,20,000",0-2 years,2 weeks ago,200000,220000,12,156,0.0,0.020000000000000018
Corporate Sales Executive,Pepperfry,Bangalore,Starts Immediately,"₹ 2,40,000 - 3,50,000",0-2 years,2 weeks ago,240000,350000,1,47,0.05714285714285716,0.15
Business Development Trainee,Planet Spark,Gurgaon,Starts Immediately,"₹ 4,00,000 - 7,00,000",0-5 years,2 weeks ago,400000,700000,12,35,0.2857142857142857,0.5
Business Development Associate,BYJU'S The Learning App,Haridwar,Starts Immediately,"₹ 4,50,000 - 8,50,000",0-5 years,3 weeks ago,450000,850000,14,28,0.3571428571428572,0.65
Omni Sport Leader,Decathlon Sport India Private Limited,Gurgaon,Starts Immediately,"₹ 3,36,000 - 3,60,000",0-2 years,3 weeks ago,336000,360000,12,120,0.19428571428571434,0.16
Cloud Engineer Trainee,Redington India Limited,Chennai,Starts Immediately,"₹ 4,50,000 - 5,00,000",0-5 years,3 weeks ago,450000,500000,5,39,0.3571428571428572,0.30000000000000004
Music Tracker,Saregama India Limited,Chennai,Starts Immediately,"₹ 2,00,000 - 2,16,000",0-2 years,3 weeks ago,200000,216000,5,118,0.0,0.016000000000000014
Business Development Executive,Plada Infotech Services Limited,Bangalore,Starts Immediately,"₹ 2,20,000 - 4,20,000",0-2 years,3 weeks ago,220000,420000,1,32,0.02857142857142858,0.22
HR Analyst,Mazars LLP,Gurgaon,Starts Immediately,"₹ 2,00,000 - 4,00,000",0-2 years,3 weeks ago,200000,400000,12,84,0.0,0.19999999999999998
Business Development Associate,Planet Spark,Gurgaon,Starts Immediately,"₹ 3,00,000 - 7,00,000",0-5 years,3 weeks ago,300000,700000,12,28,0.1428571428571429,0.5
US Olympics Junior Writer,Sportskeeda,Work from home,Starts Immediately,"₹ 2,00,000",0-2 years,3 weeks ago,200000,200000,41,168,0.0,0.0
Non IT Recruiter,Spinny - Valuedrive Technologies Private Limited,Gurgaon,Starts Immediately,"₹ 2,00,000 - 2,80,000",0-2 years,3 weeks ago,200000,280000,12,119,0.0,0.07999999999999999
Corporate Sales Executive,NoBroker Technologies Solutions Private Limited,"Hubli, Bangalore",Starts Immediately,"₹ 2,20,000 - 3,00,000",0-2 years,3 weeks ago,220000,300000,15,47,0.02857142857142858,0.1
Business Development Associate,Planet Spark,Gurgaon,Starts Immediately,"₹ 5,00,000 - 7,00,000",0-5 years,3 weeks ago,500000,700000,12,28,0.4285714285714286,0.5
Assistant Manager Sales,Planet Spark,Gurgaon,Starts Immediately,"₹ 9,00,000 - 10,00,000",0-5 years,3 weeks ago,900000,1000000,12,10,1.0,0.8
Audit Associate,Writer Safeguard Private Limited,Jaipur,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2 years,3 weeks ago,200000,250000,18,20,0.0,0.05000000000000002
Apprentice - HR,Zydus Lifescience,Ahmedabad,Starts Immediately,"₹ 2,40,000",0-2 years,3 weeks ago,240000,240000,0,9,0.05714285714285716,0.04000000000000001
Corporate Sales Executive,NIIT Foundation,Delhi,Starts Immediately,"₹ 3,00,000 - 3,60,000",0-2 years,3 weeks ago,300000,360000,9,47,0.1428571428571429,0.16
Business Development Executive,BYJU'S The Learning App,Mumbai,Starts Immediately,"₹ 2,00,000 - 2,70,000",0-2 years,3 weeks ago,200000,270000,28,32,0.0,0.06999999999999998
Recruiter,ASMACS Skill Development Limited,Mira Bhayandar,Starts Immediately,"₹ 2,00,000",0-2 years,3 weeks ago,200000,200000,26,131,0.0,0.0
Field Sales Associate,PolicyBazaar.com,Gurgaon,Starts Immediately,"₹ 2,50,000 - 4,00,000",0-2 years,3 weeks ago,250000,400000,12,76,0.07142857142857145,0.19999999999999998
Content Marketing Executive,Bridging GAPS,Mohali,Starts Immediately,"₹ 4,00,000 - 4,50,000",0-2 years,3 weeks ago,400000,450000,27,41,0.2857142857142857,0.24999999999999997
